,gamma,token_size,delta,z_score,p_value,num_tokens_scored,num_green_tokens
0,0.1,50,0.5,-2.1519419124340606,0.9842990351712552,363,24
1,0.1,50,1.0,-1.6270780313525826,0.9481397369129155,363,27
2,0.1,50,2.0,1.1721960010819668,0.12055918677885408,363,43
3,0.1,50,5.0,5.196152422706631,1.017277307272218e-07,363,66
4,0.1,50,10.0,6.245880184869587,2.107100685116725e-10,363,72
5,0.1,100,0.5,-1.6894328874809226,0.9544317485101457,413,31
6,0.1,100,1.0,-1.0333424457407587,0.8492781648858962,413,35
7,0.1,100,2.0,4.051358477745511,2.5460561019580805e-05,413,66
8,0.1,100,5.0,12.416511609932599,1.0631624192359956e-35,413,117
9,0.1,100,10.0,13.236624662107802,2.6959027514235117e-40,413,122
10,0.1,150,0.5,-1.9054315905947103,0.9716380039785637,463,34
11,0.1,150,1.0,-0.20138707868074232,0.5798020410201223,463,45
12,0.1,150,2.0,6.7697041064218535,6.4523021376990556e-12,463,90
13,0.1,150,5.0,18.698015689819627,2.5690747999162926e-78,463,167
14,0.1,150,10.0,19.47258137705325,9.37882174173042e-85,463,172
15,0.1,200,0.5,-1.810194221322227,0.9648671632810668,513,39
16,0.1,200,1.0,0.25018944522339653,0.40122042362438437,513,53
17,0.1,200,2.0,9.080405158990354,5.4085715488466196e-20,513,113
18,0.1,200,5.0,24.386112396186416,1.2005519204027113e-131,513,217
19,0.1,200,10.0,25.121963705666996,1.4312359804533081e-139,513,222
